"","Project.ID","Deployment.id_new","Unit","Subunit","Site","Settlements","Lon","Lat","Start.date","Time.Diff","rescaled_Time.Diff","Monitoring.Time.Diff_numeric","sinus_Monitoring.Time.Diff","cosinus_Monitoring.Time.Diff","Distance","Transect","Distance.Agri"
"96","T0","Kerem Maharal Far CA24","Mediterranean Maquis","Carmel","Kerem Maharal","Far",35.017422,32.662375,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,2593.53426,"Kerem Maharal Far",640.699089
"97","T0","Kerem Maharal Far CA25","Mediterranean Maquis","Carmel","Kerem Maharal","Far",35.017422,32.662375,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,2593.53426,"Kerem Maharal Far",640.699089
"98","T0","Kerem Maharal Far CA26","Mediterranean Maquis","Carmel","Kerem Maharal","Far",35.017422,32.662375,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,2593.53426,"Kerem Maharal Far",640.699089
"99","T0","Kerem Maharal Far CA27","Mediterranean Maquis","Carmel","Kerem Maharal","Far",35.017422,32.662375,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,2593.53426,"Kerem Maharal Far",640.699089
"100","T0","Kerem Maharal Near CA1","Mediterranean Maquis","Carmel","Kerem Maharal","Near",34.995291,32.644205,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,227.2248103,"Kerem Maharal Near",353.545011
"101","T0","Kerem Maharal Near CA3","Mediterranean Maquis","Carmel","Kerem Maharal","Near",34.995291,32.644205,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,227.2248103,"Kerem Maharal Near",353.545011
"102","T0","Kerem Maharal Near CA4","Mediterranean Maquis","Carmel","Kerem Maharal","Near",34.995291,32.644205,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,227.2248103,"Kerem Maharal Near",353.545011
"103","T0","Kerem Maharal Near CA5","Mediterranean Maquis","Carmel","Kerem Maharal","Near",34.995291,32.644205,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,227.2248103,"Kerem Maharal Near",353.545011
"104","T0","Kerem Maharal Near CA7","Mediterranean Maquis","Carmel","Kerem Maharal","Near",34.995291,32.644205,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,227.2248103,"Kerem Maharal Near",353.545011
"105","T0","Kerem Maharal Near CA8","Mediterranean Maquis","Carmel","Kerem Maharal","Near",34.995291,32.644205,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,227.2248103,"Kerem Maharal Near",353.545011
