Project.ID,Cycle_number,year,Deployment.id_new,Unit,Subunit,Site,Settlements,Agriculture,Dunes,Lon,Lat,Start.date,Time.Diff,rescaled_Time.Diff,Monitoring.Time.Diff_numeric,sinus_Monitoring.Time.Diff,cosinus_Monitoring.Time.Diff,Distance,Transect,Transect_with_date,Distance_agri,Distance_agri_rescaled,Canis aureus,Canis lupus,Capra nubiana,Dama mesopotamica,Equus hemionus,Gazella dorcas,Gazella gazella,Hyaena hyaena,Hystrix indica,Lepus capensis,Meles meles,Oryx leucoryx,Sus scrofa,Vulpes vulpes
T0,0,2014,Karei Deshe Far CA36,Herbaceous and Dwarf Shrub Vegetation,NA,Karei Deshe,Far,NA,NA,35.58239,32.92394,06/07/2014,798,-1.11106103,15,0.65028784,-0.759687913,1603.862858,Karei Deshe Far,Karei Deshe Far_06_07_2014,745.790268,0.005215603,0,0,0,0,0,0,1,0,0,0,0,0,0,0
T0,0,2014,Karei Deshe Far CA4,Herbaceous and Dwarf Shrub Vegetation,NA,Karei Deshe,Far,NA,NA,35.58239,32.92394,06/07/2014,798,-1.11106103,15,0.65028784,-0.759687913,1603.862858,Karei Deshe Far,Karei Deshe Far_06_07_2014,745.790268,0.005215603,2,0,0,0,0,0,1,0,0,0,0,0,0,1
T0,0,2014,Natur Far CA13,Herbaceous and Dwarf Shrub Vegetation,NA,Natur,Far,NA,NA,35.737387,32.844674,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,1561.015734,Natur Far,Natur Far_25_06_2014,1515.624005,0.715890508,2,0,0,0,0,0,1,0,0,0,0,0,6,0
T0,0,2014,Natur Far CA14,Herbaceous and Dwarf Shrub Vegetation,NA,Natur,Far,NA,NA,35.737387,32.844674,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,1561.015734,Natur Far,Natur Far_25_06_2014,1515.624005,0.715890508,0,0,0,0,0,0,3,0,0,0,0,0,2,0
T0,0,2014,Natur Far CA16,Herbaceous and Dwarf Shrub Vegetation,NA,Natur,Far,NA,NA,35.737387,32.844674,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,1561.015734,Natur Far,Natur Far_25_06_2014,1515.624005,0.715890508,1,0,0,0,0,0,1,0,0,0,0,0,1,1
T0,0,2014,Natur Far CA28,Herbaceous and Dwarf Shrub Vegetation,NA,Natur,Far,NA,NA,35.737387,32.844674,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,1561.015734,Natur Far,Natur Far_25_06_2014,1515.624005,0.715890508,6,0,0,0,0,0,4,0,0,0,0,0,0,0
T0,0,2014,Natur Far CA33,Herbaceous and Dwarf Shrub Vegetation,NA,Natur,Far,NA,NA,35.737387,32.844674,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,1561.015734,Natur Far,Natur Far_25_06_2014,1515.624005,0.715890508,1,0,0,0,0,0,2,0,0,0,0,0,6,0
T0,0,2014,Natur Far CA6,Herbaceous and Dwarf Shrub Vegetation,NA,Natur,Far,NA,NA,35.737387,32.844674,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,1561.015734,Natur Far,Natur Far_25_06_2014,1515.624005,0.715890508,11,0,0,0,0,0,1,0,0,0,1,0,0,7
T0,0,2014,Natur Far CA9,Herbaceous and Dwarf Shrub Vegetation,NA,Natur,Far,NA,NA,35.737387,32.844674,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,1561.015734,Natur Far,Natur Far_25_06_2014,1515.624005,0.715890508,2,0,0,0,0,0,4,0,0,0,0,0,0,1
T0,0,2014,Shaal Far CA1,Herbaceous and Dwarf Shrub Vegetation,NA,Shaal,Far,NA,NA,35.750144,33.087734,24/06/2014,786,-1.12079308,3,0.141120008,-0.989992497,635.8477538,Shaal Far,Shaal Far_24_06_2014,839.221023,0.091466555,1,0,0,0,0,0,1,0,0,0,0,0,0,1
T0,0,2014,Shaal Far CA17,Herbaceous and Dwarf Shrub Vegetation,NA,Shaal,Far,NA,NA,35.750144,33.087734,24/06/2014,786,-1.12079308,3,0.141120008,-0.989992497,635.8477538,Shaal Far,Shaal Far_24_06_2014,839.221023,0.091466555,0,0,0,0,0,0,2,0,0,0,0,0,1,0
T0,0,2014,Shaal Far CA18,Herbaceous and Dwarf Shrub Vegetation,NA,Shaal,Far,NA,NA,35.750144,33.087734,24/06/2014,786,-1.12079308,3,0.141120008,-0.989992497,635.8477538,Shaal Far,Shaal Far_24_06_2014,839.221023,0.091466555,0,0,0,0,0,0,1,0,0,0,0,0,0,0
T0,0,2014,Shaal Far CA20,Herbaceous and Dwarf Shrub Vegetation,NA,Shaal,Far,NA,NA,35.750144,33.087734,24/06/2014,786,-1.12079308,3,0.141120008,-0.989992497,635.8477538,Shaal Far,Shaal Far_24_06_2014,839.221023,0.091466555,1,1,0,0,0,0,10,0,0,0,0,0,1,3
T0,0,2014,Shaal Far CA5,Herbaceous and Dwarf Shrub Vegetation,NA,Shaal,Far,NA,NA,35.750144,33.087734,24/06/2014,786,-1.12079308,3,0.141120008,-0.989992497,635.8477538,Shaal Far,Shaal Far_24_06_2014,839.221023,0.091466555,2,0,0,0,0,0,4,0,2,0,0,0,0,0
T0,0,2014,Shaal Far CA8,Herbaceous and Dwarf Shrub Vegetation,NA,Shaal,Far,NA,NA,35.750144,33.087734,24/06/2014,786,-1.12079308,3,0.141120008,-0.989992497,635.8477538,Shaal Far,Shaal Far_24_06_2014,839.221023,0.091466555,1,0,0,0,0,0,35,0,0,0,0,0,1,2
T0,0,2014,Yavneel Far CA13,Herbaceous and Dwarf Shrub Vegetation,NA,Yavneel,Far,NA,NA,35.512391,32.678852,16/07/2014,808,-1.10295099,25,-0.13235175,0.991202812,1924.414627,Yavneel Far,Yavneel Far_16_07_2014,174.417643,-0.522249182,10,0,0,0,0,0,3,0,0,0,0,0,14,2
T0,0,2014,Yavneel Far CA14,Herbaceous and Dwarf Shrub Vegetation,NA,Yavneel,Far,NA,NA,35.512391,32.678852,16/07/2014,808,-1.10295099,25,-0.13235175,0.991202812,1924.414627,Yavneel Far,Yavneel Far_16_07_2014,174.417643,-0.522249182,0,0,0,0,0,0,3,0,0,0,0,0,0,0
T0,0,2014,Yavneel Far CA16,Herbaceous and Dwarf Shrub Vegetation,NA,Yavneel,Far,NA,NA,35.512391,32.678852,16/07/2014,808,-1.10295099,25,-0.13235175,0.991202812,1924.414627,Yavneel Far,Yavneel Far_16_07_2014,174.417643,-0.522249182,6,0,0,0,0,0,4,0,1,0,2,0,3,1
T0,0,2014,Yavneel Far CA19,Herbaceous and Dwarf Shrub Vegetation,NA,Yavneel,Far,NA,NA,35.512391,32.678852,16/07/2014,808,-1.10295099,25,-0.13235175,0.991202812,1924.414627,Yavneel Far,Yavneel Far_16_07_2014,174.417643,-0.522249182,1,0,0,0,0,0,9,0,0,0,0,0,6,1
T0,0,2014,Yavneel Far CA28,Herbaceous and Dwarf Shrub Vegetation,NA,Yavneel,Far,NA,NA,35.512391,32.678852,16/07/2014,808,-1.10295099,25,-0.13235175,0.991202812,1924.414627,Yavneel Far,Yavneel Far_16_07_2014,174.417643,-0.522249182,5,1,0,0,0,0,10,0,3,0,0,0,0,0
