Distance,Distance_rescaled,Transect,Gazella gazella,Meles meles,,,Distance,Distance_rescaled,Transect,Hystrix indica,
1543.111908,0.524361901,Elyakim Far,0,0,,,1543.111908,0.524361901,Elyakim Far,0,
1926.480874,0.881615832,Elyakim Far,0,0,,,1926.480874,0.881615832,Elyakim Far,1,
1931.942107,0.886705047,Elyakim Far,0,0,,,1931.942107,0.886705047,Elyakim Far,4,
1966.835215,0.919221242,Elyakim Far,0,0,,,1966.835215,0.919221242,Elyakim Far,1,
1967.67331,0.920002246,Elyakim Far,0,0,,,1967.67331,0.920002246,Elyakim Far,1,54
1986.622201,0.937660341,Elyakim Far,0,0,23,,1986.622201,0.937660341,Elyakim Far,0,
2002.696987,0.952640115,Elyakim Far,0,0,,,2002.696987,0.952640115,Elyakim Far,0,
2003.495659,0.953384382,Elyakim Far,0,0,,,2003.495659,0.953384382,Elyakim Far,1,
2004.738169,0.954542252,Elyakim Far,0,0,,,2004.738169,0.954542252,Elyakim Far,0,
2012.992813,0.962234591,Elyakim Far,0,0,,,2012.992813,0.962234591,Elyakim Far,2,
2042.621077,0.989844583,Elyakim Far,0,0,,,2042.621077,0.989844583,Elyakim Far,0,
2047.321184,0.994224519,Elyakim Far,0,0,,,2047.321184,0.994224519,Elyakim Far,0,
2067.277537,1.012821448,Elyakim Far,0,0,,,2067.277537,1.012821448,Elyakim Far,2,
2067.277537,1.012821448,Elyakim Far,0,0,,,2067.277537,1.012821448,Elyakim Far,0,
2067.277537,1.012821448,Elyakim Far,0,0,,,2067.277537,1.012821448,Elyakim Far,0,
2067.277537,1.012821448,Elyakim Far,0,0,,,2067.277537,1.012821448,Elyakim Far,0,
2067.277537,1.012821448,Elyakim Far,0,0,,,2067.277537,1.012821448,Elyakim Far,0,
2067.277537,1.012821448,Elyakim Far,0,0,,,2067.277537,1.012821448,Elyakim Far,0,
2067.277537,1.012821448,Elyakim Far,0,0,,,2067.277537,1.012821448,Elyakim Far,0,
2067.277537,1.012821448,Elyakim Far,0,0,,,2067.277537,1.012821448,Elyakim Far,0,
2085.467424,1.029772243,Elyakim Far,0,0,,,2085.467424,1.029772243,Elyakim Far,0,
2101.541031,1.044750918,Elyakim Far,0,0,0,,2101.541031,1.044750918,Elyakim Far,0,5
